Column Name,dtype
Unique ID,str
Participant identifier,str
HIDDEN: QCOUNTRY,str
HIDDEN: QSAMPLE,str
Gender,str
Please enter your age.,int64
Age bracket,str
What is the last level of schooling you completed?,str
What best describes your employment status?,str
Do you have Children?,str
How many children under the age of 18 do you have?,float64
Child 1 : How old are each of your children?,float64
Child 2 : How old are each of your children?,float64
Child 3 : How old are each of your children?,float64
Child 4 : How old are each of your children?,float64
Child 5 : How old are each of your children?,float64
Child 6 : How old are each of your children?,float64
Child 7 : How old are each of your children?,float64
Child 8 : How old are each of your children?,float64
Child 9 : How old are each of your children?,float64
Child 10 : How old are each of your children?,float64
HIDDEN: QAUDIENCE,str
"Overall, how satisfied are you with your life?",int64
"Overall, how optimistic are you about your future?",int64
I feel that my decisions reflect what I really want : To what extent do you agree or disagree with the following statements about your life situation?,str
I feel confident that I can do things well : To what extent do you agree or disagree with the following statements about your life situation?,str
I feel close and connected with other people who are important to me : To what extent do you agree or disagree with the following statements about your life situation?,str
Which of the following statements best describes your attitude towards new technology?,str
Which is closer to your view about digital technology?,str
Which is closer to your view about digital technology?.1,str
"Over the past 12 months, thinking about the balance between your online and offline lives, would you say that you have become better or worse at controlling your use of digital technology?",str
Smartphone : How concerned are you by the following technologies on your health?,str
Social Media : How concerned are you by the following technologies on your health?,str
Access to high-quality affordable healthcare : Which of the following is more important to you?,str
Living in a safe neighbourhood : Which of the following is more important to you?,str
 Access to high-quality affordable education : Which of the following is more important to you?,str
"Thinking about past year, which activities have you done on a digital device?: Planned a holiday or vacation",str
"Thinking about past year, which activities have you done on a digital device?: Accessed entertainment (streaming services, sports streaming and videos, gaming, music, books)",str
"Thinking about past year, which activities have you done on a digital device?: Looked for offline events and activities",str
"Thinking about past year, which activities have you done on a digital device?: Engaged with artistic and/ or cultural content (e.g. art, music, literature, fashion, heritage artefacts etc.)",str
"Thinking about past year, which activities have you done on a digital device?: Created and/ or shared your artistic and/ or cultural content (e.g. art, music, literature, fashion, heritage artefacts etc.)",str
QHORIZON2r96,int64
"Thinking about past year, which activities did you do using a digital device?: Stayed connected with family, friends and colleagues",str
"Thinking about past year, which activities did you do using a digital device?: Met new people",str
"Thinking about past year, which activities did you do using a digital device?: Engaged in or organized action on an important issue",str
"Thinking about past year, which activities did you do using a digital device?: Developed personal conversations or relationships with virtual assistants (e.g. computer-generated bots like ChatGPT, Alexa or Siri)",str
QHORIZON4r96,int64
"Thinking about past year, which activities have you done on a digital device?: Organized transportation of any kind (e.g. looking up public transport times, booking tickets, ordering a taxi or car sharing service)",str
"Thinking about past year, which activities have you done on a digital device?: Paid for goods or services online",str
"Thinking about past year, which activities have you done on a digital device?: Participated in online health and fitness activities",str
"Thinking about past year, which activities have you done on a digital device?: Monitored my health and fitness metrics",str
"Thinking about past year, which activities have you done on a digital device?: Consulted a health professional",str
QHORIZON5r96,int64
Which is closer to your view about digital technology in the workplace?,str
Which of the following is closer to your opinion? I think that people are more productive in their work when they are...,str
"Which of the following is closer to your opinion? Outside of agreed ""on-call"" duties, when a person is working in a job they should expect...",str
To what extent do you agree or disagree with the following statement? “Schools should prevent all children from having access to their phones throughout the school day”,str
How important is your digital device in helping you to access educational/work-related resources?,str
Which of the following best describes how you have worked and/or studied over the last 12 months?,str
"When working or studying remotely, how easy or difficult do you find it to maintain boundaries between your work and personal life or rest? Boundaries when working remotely could involve having a designated workspace, adhering to consistent work and rest hours, avoiding multitasking, unplugging from work-related tasks at the end of the day.",str
"When working or studying remotely, which measures do you consistently take to ensure your wellness?: Taking regular breaks during which you don’t use technology",str
"When working or studying remotely, which measures do you consistently take to ensure your wellness?: Doing exercise for eyes",str
"When working or studying remotely, which measures do you consistently take to ensure your wellness?: Using equipment that maintains/ improves your physique (e.g. ergonomic chair, standing desk, wrist-supporting mousepad or keyboard, etc.)",str
"When working or studying remotely, which measures do you consistently take to ensure your wellness?: Making sure you meet people in-person",str
"When working or studying remotely, which measures do you consistently take to ensure your wellness?: Making sure you engage in a physical activity",str
"When working or studying remotely, which measures do you consistently take to ensure your wellness?: Using technology to track and monitor your wellbeing (e.g. screentime)",str
QHORIZON10b_REMOTEr97,float64
QHORIZON10b_REMOTEr96,float64
"When working or studying, which measures do you consistently take to ensure your wellness?: Taking regular breaks during which you don’t use technology",str
"When working or studying, which measures do you consistently take to ensure your wellness?: Doing exercise for eyes",str
"When working or studying, which measures do you consistently take to ensure your wellness?: Using equipment that maintains/ improves your physique (e.g. ergonomic chair, standing desk, wrist-supporting mousepad or keyboard, etc.)",str
"When working or studying, which measures do you consistently take to ensure your wellness?: Making sure you meet people in-person",str
"When working or studying, which measures do you consistently take to ensure your wellness?: Making sure you engage in a physical activity",str
"When working or studying, which measures do you consistently take to ensure your wellness?: Using technology to track and monitor your wellbeing (e.g. screentime)",str
QHORIZON10b_ONSITEr97,float64
QHORIZON10b_ONSITEr96,float64
"Thinking about a typical week of working or studying remotely, which emotional states do you commonly experience?: Loneliness",str
"Thinking about a typical week of working or studying remotely, which emotional states do you commonly experience?: Difficulty concentrating",str
"Thinking about a typical week of working or studying remotely, which emotional states do you commonly experience?: Stress or anxiety",str
"Thinking about a typical week of working or studying remotely, which emotional states do you commonly experience?: Lack of motivation to perform tasks",str
"Thinking about a typical week of working or studying remotely, which emotional states do you commonly experience?: Irritability",str
"Thinking about a typical week of working or studying remotely, which emotional states do you commonly experience?: Guilt or a sense of failure",str
QHORIZON10c_REMOTEr96,float64
"Thinking about a typical week of working or studying, which emotional states do you commonly experience?: Loneliness",str
"Thinking about a typical week of working or studying, which emotional states do you commonly experience?: Difficulty concentrating",str
"Thinking about a typical week of working or studying, which emotional states do you commonly experience?: Stress or anxiety",str
"Thinking about a typical week of working or studying, which emotional states do you commonly experience?: Lack of motivation to perform tasks",str
"Thinking about a typical week of working or studying, which emotional states do you commonly experience?: Irritability",str
"Thinking about a typical week of working or studying, which emotional states do you commonly experience?: Guilt or a sense of failure",str
QHORIZON10c_ONSITEr96,float64
"Thinking about past year, which activities have you done on a digital device?: Took an educational course which gives a formal degree or certificate",str
"Thinking about past year, which activities have you done on a digital device?: Found information or news",str
"Thinking about past year, which activities have you done on a digital device?: Applied for a job",str
"Thinking about past year, which activities have you done on a digital device?: Automated some of your work or education tasks (e.g. writing standardised text for emails or word processors, retrieving and updating data using spreadsheets, using generative artificial intelligence, etc.)",str
"Thinking about past year, which activities have you done on a digital device?: Collaborated with peers on a work or educational task",str
"Thinking about past year, which activities have you done on a digital device?: Started an online business",str
"Thinking about past year, which activities have you done on a digital device?: Sold products or services online",str
"Thinking about past year, which activities have you done on a digital device?: Managed my finances online",str
QHORIZON3r96,int64
In which of the following areas do you expect new and emerging technology will have the biggest impact on your job?,str
"What impact, if any, do you think new and emerging technology will have on the availability of jobs in your country?",str
Which of the following best describe how you feel about the future of technology?: Excited,str
Which of the following best describe how you feel about the future of technology?: Pleased,str
Which of the following best describe how you feel about the future of technology?: Content,str
Which of the following best describe how you feel about the future of technology?: Optimistic,str
Which of the following best describe how you feel about the future of technology?: Safe,str
Which of the following best describe how you feel about the future of technology?: Comfortable,str
Which of the following best describe how you feel about the future of technology?: Relaxed,str
Which of the following best describe how you feel about the future of technology?: Relieved,str
Which of the following best describe how you feel about the future of technology?: Hesitant,str
Which of the following best describe how you feel about the future of technology?: Overwhelmed,str
Which of the following best describe how you feel about the future of technology?: Anxious,str
Which of the following best describe how you feel about the future of technology?: Concerned,str
Which of the following best describe how you feel about the future of technology?: Scared,str
Which of the following best describe how you feel about the future of technology?: Agitated,str
Which of the following best describe how you feel about the future of technology?: Powerless,str
Which of the following best describe how you feel about the future of technology?: Frustrated,str
Which of the following best describe how you feel about the future of technology?: Indifferent,str
Which of the following best describe how you feel about the future of technology?: Ambivalent,str
Q2023ET2r96,int64
Which of the following technologies do you think will have the biggest impact on your life?,str
Which of the following parts of your life do you expect new and emerging technology to have the most influence on?,str
How confident would you be in describing the concept of Artificial Intelligence (AI) to a friend or family member?,str
Which is closer to your view about Artificial Intelligence (AI)?,str
Have you ever used Artificial Intelligence (AI) tools (such as ChatGPT and Google Bard) in a work or social context?,str
"Thinking about the use of Artificial Intelligence (AI) in your work role, will it make you...",str
I would use an Artificial Intelligence (AI) provided service such as a chatbot to talk through a minor mental health challenge : How strongly do you agree or disagree with the following statements?,str
I would let my child be taught by an Artificial Intelligence (AI) generated school teacher : How strongly do you agree or disagree with the following statements?,str
I would let myself be diagnosed by an Artificial Intelligence (AI) generated doctor : How strongly do you agree or disagree with the following statements?,str
I would use an Artificial Intelligence (AI) generated companion to support me in day to day tasks : How strongly do you agree or disagree with the following statements?,str
How strongly do you agree or disagree with the following... “Artificial Intelligence (AI) research should be paused until appropriate regulations are in place”,str
Which of the following is closer to your view about social media?,str
Which is closer to your view about social media?,str
"Would you say you have participated (posted, liked, viewed content) in social media (Twitter, Facebook, TikTok etc.) at least once in the past 12 months?",str
"Thinking about past year, how would you describe your level of engagement in social media? Please rate on a scale of 1 to 4 where 1 represents using social media actively and 4 represents using social media passively. Passive engagement: only reading comments, watching videos and looking at images without further interaction Active engagement: in addition to the above, making positive comments, interacting with peers and posting or liking content regularly",str
Which of the following is closer to your opinion? My social media use means...,str
Which of the following is closer to your opinion? My social media use means....1,str
Which of the following would you say is the biggest reason why you do not use social media?: To protect my personal information and privacy,str
Which of the following would you say is the biggest reason why you do not use social media?: The fear of misinformation,str
Which of the following would you say is the biggest reason why you do not use social media?: The fear of bullying and harassment,str
Which of the following would you say is the biggest reason why you do not use social media?: It is against my religious belief,str
Which of the following would you say is the biggest reason why you do not use social media?: I cannot afford the data/ internet costs required,str
Which of the following would you say is the biggest reason why you do not use social media?: I do not have the internet bandwidth required,str
Which of the following would you say is the biggest reason why you do not use social media?: It causes disruption to my sleep patterns,str
Which of the following would you say is the biggest reason why you do not use social media?: It causes me to be sedentary,str
Which of the following would you say is the biggest reason why you do not use social media?: It takes time from other activities I would rather do,str
Which of the following would you say is the biggest reason why you do not use social media?: It has a negative impact on my physical health,str
Which of the following would you say is the biggest reason why you do not use social media?: It has a negative impact on my mental health,str
Which of the following would you say is the biggest reason why you do not use social media?: It has a negative impact on my productivity,str
